url,price,title
https://www.olx.com.pk/item/hp-laptop-160gb-2gb-ddr3-15-6inch-hd-led-2ghz-dual-core-front-cam-hdmi-IDV2INC.html,"Rs 7,000",HP Laptop 160gb 2gb DDR3 15.6inch HD LED 2GHz Dual Core Front CAM HDMI
https://www.olx.com.pk/item/new-box-pack-laptop-sealed-8gbram-1tb-core-m3-7thgeneration-360-rotate-IDV3T12.html,"Rs 29,000",New Box Pack Laptop sealed 8gbRAM 1TB Core M3 7thGeneration 360 Rotate
https://www.olx.com.pk/item/hp-spectre-x360-urgent-sale-IDV3CL3.html,"Rs 65,000",Hp Spectre x360 Urgent Sale
https://www.olx.com.pk/item/only-genuine-gaming-machines-my-games-IDWPsye.html,"Rs 37,000",ONLY Genuine gaming machines ! MY GAMES !
https://www.olx.com.pk/item/dell-e6430-e6530-core-i7-3rd-generation-at-al-wajid-laptops-IDV3WYa.html,"Rs 21,500",Dell ( E6430 & E6530 ) Core i7 3rd Generation at AL-WAJID Laptops
https://www.olx.com.pk/item/pc-game-setups-in-hard-disk-drive-100-ok-better-than-xbox-ps3-ps4-IDWNhdB.html,"Rs 3,000","PC Game Setups in Hard Disk Drive 100% OK. Better Than XBox, PS3, PS4"
https://www.olx.com.pk/item/ps3-40-160-250-320gb-jailbreak-classic-IDWYeoZ.html,"Rs 16,500",Ps3 40/160/250/320GB jailbreak classic
https://www.olx.com.pk/item/ps4-installment-plan-for-students-only-at-my-games-IDWDF18.html,"Rs 18,400",Ps4 Installment plan for STUDENTS ! Only at MY GAMES !
https://www.olx.com.pk/item/wholesale-prices-24-to-60-inches-huge-discounted-prices-IDV2EDM.html,"Rs 12,999",Wholesale prices 24 to 60 inches huge discounted prices
https://www.olx.com.pk/item/led-available-in-wholesale-price-samsung-42inch-led-IDWQKcv.html,"Rs 26,500",Led available in wholesale price samsung 42inch led
https://www.olx.com.pk/item/sony-samsung-malaysian-led-tv-30-discount-offer-all-model-available-IDWILd2.html,"Rs 5,000",Sony /Samsung Malaysian LED TV 30% discount offer all model available
https://www.olx.com.pk/item/42-inch-lg-lcd-IDV28yP.html,"Rs 28,000",42 inch LG LCD
https://www.olx.com.pk/item/samsung-led-tv-all-model-20-inch-to-70-inches-IDWZfWD.html,"Rs 4,500",Samsung LED TV all Model 20 inch to 70 inches
https://www.olx.com.pk/item/1-port-gepon-onu-ftth-IDWA38d.html,"Rs 3,199",1 Port GEPON Onu Ftth
https://www.olx.com.pk/item/lenovo-x220-core-i-5-2nd-gen-android-windows-finger-touch-laptop-ca-IDWW7eE.html,"Rs 11,500",Lenovo X220 Core i 5 2nd Gen android+Windows Finger Touch Laptop Ca
https://www.olx.com.pk/item/unlock-universal-multi-all-network-4g-huawei-unlock-all-sims-devices-IDV3bt2.html,"Rs 2,500","Unlock universal multi, all network 4g Huawei unlock all sims devices."
https://www.olx.com.pk/item/computer-scrap-dealer-IDWDkdb.html,"Rs 2,200",Computer Scrap Dealer
https://www.olx.com.pk/item/mujhe-xerox-machine-sale-karni-he-IDV2dX8.html,"Rs 60,000",Mujhe xerox machine sale karni he
https://www.olx.com.pk/item/hp-elitebook-8440p-core-i-5-cam-free-home-office-delivery-available-IDWZYoN.html,"Rs 13,999",Hp Elitebook 8440p Core i 5 Cam/ Free Home & Office Delivery Available
https://www.olx.com.pk/item/i7-3rd-gen-touch-8gb-ram-4k-screen-IDV2QIg.html,"Rs 24,900",I7-3rd gen touch 8gb ram 4k screen
https://www.olx.com.pk/item/hp-envy-360-core-i7-8th-generation-16gb-ddr4-128gb-ssd-1tb-hdd-8mb-ca-IDWUyEw.html,"Rs 95,000",HP Envy 360 Core i7 8th Generation 16GB DDR4 128GB SSD 1TB HDD 8mb ca
https://www.olx.com.pk/item/32-inches-box-pack-led-tv-with-free-delivery-IDWLDIc.html,"Rs 16,550",32 Inches Box pack LED TV with free delivery
https://www.olx.com.pk/item/we-have-used-new-all-led-tvs-discount-prize-read-complete-post-IDV3Qrd.html,"Rs 4,000",WE Have Used & New All LED TVs Discount Prize Read Complete Post
https://www.olx.com.pk/item/multimedia-projector-rent-led-screen-rental-used-projector-for-sale-IDWJM2F.html,"Rs 2,500",Multimedia Projector Rent - LED Screen Rental -Used Projector for Sale
https://www.olx.com.pk/item/130-inches-display-home-entertainment-branded-mini-wifi-led-projector-IDV2qRG.html,"Rs 8,000",130 inches Display Home Entertainment Branded Mini WiFi LED Projector
https://www.olx.com.pk/item/32-led-tv-upto-40-off-new-full-hd-all-size-range-20-65-wholesale-IDWLNFm.html,"Rs 13,800","32"" Led TV upto 40% off New Full-HD (All Size Range 20""-65"")Wholesale"
https://www.olx.com.pk/item/42-samsung-led-wifi-android-smart-32-55-60-size-available-IDV3324.html,"Rs 26,000","42'' Samsung LED WiFi android smart 32""55""60"" size Available"
https://www.olx.com.pk/item/new-laptops-laptop-hut-core-i7-8th-generation-warranty-IDV3VtP.html,"Rs 58,999",( New Laptops LAPTOP HUT ) Core i7 8th Generation | Warranty
https://www.olx.com.pk/item/lenovo-ideapad-310-core-i5-7th-generation-dubai-imported-IDWU7sz.html,"Rs 53,000",Lenovo IdeaPad 310 core i5 7th generation - Dubai Imported
https://www.olx.com.pk/item/sony-vaio-core-i7-4gb-ram-16-4-crystal-screen-2gb-nvidia-graphic-IDV3ggs.html,"Rs 17,999",Sony Vaio Core i7 4GB ram 16.4 Crystal screen 2GB Nvidia Graphic
https://www.olx.com.pk/item/imac-pro-mq2y2-IDV3Bep.html,"Rs 6,65,000",IMac Pro (MQ2Y2)
